,id
807,ENSP361266
808,ENSP485259
809,ENSP361818
810,ENSP371420
811,ENSP454623
812,ENSP429089
813,ENSP305480
814,ENSP428259
815,ENSP223321
816,ENSP349168
817,ENSP422753
818,ENSP356669
819,ENSP425092
820,ENSP313007
821,ENSP281623
822,ENSP222803
823,ENSP380054
824,ENSP297135
825,ENSP370736
826,ENSP273859
827,ENSP397459
828,ENSP360623
829,ENSP457466
830,ENSP370208
831,ENSP345997
832,ENSP216160
833,ENSP309116
834,ENSP286639
835,ENSP365435
836,ENSP236826
837,ENSP355157
838,ENSP307259
839,ENSP465932
840,ENSP358925
841,ENSP349805
842,ENSP467107
843,ENSP429015
844,ENSP281243
845,ENSP294618
846,ENSP441831
847,ENSP357484
848,ENSP297512
849,ENSP328478
850,ENSP261835
851,ENSP379098
852,ENSP262039
853,ENSP390783
854,ENSP373620
855,ENSP469315
856,ENSP258886
857,ENSP363787
858,ENSP319829
859,ENSP380718
860,ENSP307850
861,ENSP463784
862,ENSP349748
863,ENSP429367
864,ENSP357643
865,ENSP265295
866,ENSP229595
867,ENSP296577
868,ENSP396755
869,ENSP322570
870,ENSP367208
871,ENSP424126
872,ENSP361446
873,ENSP438115
874,ENSP346340
875,ENSP311121
876,ENSP454386
877,ENSP440005
878,ENSP337040
879,ENSP437256
880,ENSP375892
881,ENSP339740
882,ENSP260323
883,ENSP240874
884,ENSP335055
885,ENSP355090
886,ENSP404190
887,ENSP262460
888,ENSP443647
889,ENSP315700
890,ENSP390621
891,ENSP381504
892,ENSP274711
893,ENSP364133
894,ENSP477707
895,ENSP316649
896,ENSP216124
897,ENSP351742
898,ENSP296946
899,ENSP307235
900,ENSP260010
901,ENSP362057
902,ENSP268182
903,ENSP364349
904,ENSP323714
905,ENSP385545
906,ENSP484634
907,ENSP381167
908,ENSP357288
909,ENSP387246
910,ENSP326227
911,ENSP449751
912,ENSP365130
913,ENSP351596
914,ENSP386717
915,ENSP255674
916,ENSP361076
917,ENSP361043
918,ENSP371469
919,ENSP328174
920,ENSP313172
921,ENSP159087
922,ENSP267113
923,ENSP316338
924,ENSP301071
925,ENSP349823
926,ENSP397453
927,ENSP296786
928,ENSP428426
929,ENSP352522
930,ENSP360492
931,ENSP355741
932,ENSP264029
933,ENSP427900
934,ENSP284601
935,ENSP449328
936,ENSP346160
937,ENSP453858
938,ENSP361021
939,ENSP168712
940,ENSP305988
941,ENSP306991
942,ENSP302846
943,ENSP441765
944,ENSP386346
945,ENSP344458
946,ENSP407822
947,ENSP464145
948,ENSP409007
949,ENSP290552
950,ENSP387303
951,ENSP334553
952,ENSP260970
953,ENSP362244
954,ENSP317144
955,ENSP367570
956,ENSP387982
957,ENSP283131
958,ENSP389377
959,ENSP350052
960,ENSP351671
961,ENSP430690
962,ENSP283713
963,ENSP300060
964,ENSP385746
965,ENSP330945
966,ENSP373312
967,ENSP306397
968,ENSP385523
969,ENSP254325
970,ENSP384597
971,ENSP347646
972,ENSP11898
973,ENSP295902
974,ENSP339449
975,ENSP310721
976,ENSP341562
977,ENSP375849
978,ENSP371923
979,ENSP422037
980,ENSP483005
981,ENSP430955
982,ENSP231198
983,ENSP54950
984,ENSP376583
985,ENSP303834
986,ENSP359719
987,ENSP326031
988,ENSP440428
989,ENSP455897
990,ENSP360899
991,ENSP379602
992,ENSP417748
993,ENSP337618
994,ENSP229922
995,ENSP377807
996,ENSP366843
997,ENSP466718
998,ENSP362773
999,ENSP264935
1000,ENSP296824
1001,ENSP400591
1002,ENSP298048
1003,ENSP481697
1004,ENSP326806
1005,ENSP308533
1006,ENSP385722
1007,ENSP269445
1008,ENSP328236
1009,ENSP288207
1010,ENSP216962
1011,ENSP320543
1012,ENSP356436
1013,ENSP230449
1014,ENSP321805
1015,ENSP358865
1016,ENSP432568
1017,ENSP329471
1018,ENSP363809
1019,ENSP274853
1020,ENSP325376
1021,ENSP385410
1022,ENSP355609
1023,ENSP253039
1024,ENSP473383
1025,ENSP355471
1026,ENSP441000
1027,ENSP372206
1028,ENSP226225
1029,ENSP221200
1030,ENSP362424
1031,ENSP302160
1032,ENSP351108
1033,ENSP258416
1034,ENSP482313
1035,ENSP229769
1036,ENSP364277
1037,ENSP217909
1038,ENSP258403
1039,ENSP55077
1040,ENSP376077
1041,ENSP302768
1042,ENSP263026
1043,ENSP287152
1044,ENSP259708
1045,ENSP306330
1046,ENSP302967
1047,ENSP466121
1048,ENSP473172
1049,ENSP325677
1050,ENSP274764
1051,ENSP339566
1052,ENSP263377
1053,ENSP480986
1054,ENSP391723
1055,ENSP415178
1056,ENSP359222
1057,ENSP324775
1058,ENSP482835
1059,ENSP333657
1060,ENSP288235
1061,ENSP444357
1062,ENSP250495
1063,ENSP253047
1064,ENSP378401
1065,ENSP248933
1066,ENSP322775
1067,ENSP365777
1068,ENSP408576
1069,ENSP266671
1070,ENSP335320
1071,ENSP379643
1072,ENSP333685
1073,ENSP295797
1074,ENSP378405
1075,ENSP359729
1076,ENSP228318
1077,ENSP216225
1078,ENSP341206
1079,ENSP344996
1080,ENSP478298
1081,ENSP245564
1082,ENSP265593
1083,ENSP263791
1084,ENSP305302
1085,ENSP251566
1086,ENSP351118
1087,ENSP411613
1088,ENSP267287
1089,ENSP377086
1090,ENSP256996
1091,ENSP379174
1092,ENSP348838
1093,ENSP228872
1094,ENSP205143
1095,ENSP483985
1096,ENSP344192
1097,ENSP415941
1098,ENSP361400
1099,ENSP480043
1100,ENSP468500
1101,ENSP312506
1102,ENSP246229
1103,ENSP265651
1104,ENSP161559
1105,ENSP378517
1106,ENSP262053
1107,ENSP346103
1108,ENSP282541
1109,ENSP358582
1110,ENSP402033
1111,ENSP263640
1112,ENSP308413
1113,ENSP435777
1114,ENSP369038
1115,ENSP234677
1116,ENSP418695
1117,ENSP266546
1118,ENSP392511
1119,ENSP385610
1120,ENSP381298
1121,ENSP305632
1122,ENSP355533
1123,ENSP371331
1124,ENSP304290
1125,ENSP393198
1126,ENSP330601
1127,ENSP314099
1128,ENSP245796
1129,ENSP252318
1130,ENSP254976
1131,ENSP436552
1132,ENSP279147
1133,ENSP369335
1134,ENSP333350
1135,ENSP264051
