,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
468,1.855018138885498,0.025197792805516466,0.007001543045043945,0.0006324850929980568,0.8,2,0.05,2,100,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7517013353877761,0.7690096681473739,0.7736152776761542,0.8269087254967157,0.7464222000424385,0.7735314413500916,0.028569397665678276,1627
1082,10.997479391098022,0.8494763091499649,0.00840167999267578,0.00049052436624629,0.9,1,0.01,2,500,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.766428461094445,0.7736152776761542,0.8295562411010916,0.7533695370275773,0.7735153209453389,0.02977366909689969,1628
1298,10.873251247406007,0.71571639699733,0.009402084350585937,0.0010200011870066359,0.9,2,0.01,2,500,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.766428461094445,0.7736152776761542,0.8295562411010916,0.7533695370275773,0.7735153209453389,0.02977366909689969,1628
1514,9.964646339416504,0.025778549733345528,0.008201980590820312,0.00040023327938972197,0.9,3,0.01,2,500,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.766428461094445,0.7736152776761542,0.8295562411010916,0.7533695370275773,0.7735153209453389,0.02977366909689969,1628
2,9.088048076629638,0.1394923116896141,0.010402154922485352,0.002800726896145352,0.8,0,0.01,2,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.7690096681473739,0.7710215314877773,0.8295562411010916,0.7533695370275773,0.7735128131182494,0.029693915690297976,1631
36,1.8748226165771484,0.09483175268927357,0.006601285934448242,0.000489940339242533,0.8,0,0.05,2,100,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7541970582309087,0.766428461094445,0.7690096681473739,0.8269087254967157,0.7509157509157509,0.7734919327770389,0.027587363933739374,1632
1116,2.0576637268066404,0.035001631007691096,0.006401491165161133,0.0004900182064194829,0.9,1,0.05,2,100,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7421587195039117,0.7690096681473739,0.7710215314877773,0.8230007119126721,0.7622600032740113,0.7734901268651492,0.02677774922697914,1633
900,2.016854238510132,0.02357339791848217,0.006201648712158203,0.00040011432937742076,0.9,0,0.05,2,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7446070878274267,0.766428461094445,0.7710215314877773,0.8230007119126721,0.7622600032740113,0.7734635591192665,0.0263347724844683,1634
895,32.439914035797116,0.8406921561149688,0.016203546524047853,0.00040023327938972197,0.9,0,0.01,20,300,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 300}",0.7399476123312514,0.7450980392156863,0.7748989400642964,0.834313725490196,0.7727924872831615,0.7734101608769184,0.033565340918490325,1635
1648,149.97481560707092,5.674939919126696,0.010002040863037109,1.1680077279964342e-07,0.9,3,0.15,10,2000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 2000}",0.7276396463012602,0.7704152981884145,0.7710215314877773,0.8293597896316368,0.7678200296905333,0.7732512590599244,0.03246875123233657,1636
1725,84.43063702583314,4.397111893056275,0.009601974487304687,0.002728372169529982,0.9,3,0.3,20,1000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 1000}",0.7233012401442213,0.7704152981884145,0.788795518207283,0.7949892606626278,0.7886747347975498,0.7732352104000193,0.02628723677336554,1637
402,2.945463848114014,0.03733621816849544,0.010202407836914062,0.00640130043118585,0.8,1,0.3,3,100,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.7439967439967441,0.7684936993560711,0.7678645319413056,0.8051035502958579,0.7804371387283238,0.7731791328636606,0.019867849242505033,1638
218,9.023034763336181,0.06756971864487368,0.008401632308959961,0.0004899793115016344,0.8,1,0.01,2,500,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.7690096681473739,0.7690096681473739,0.8295562411010916,0.7533695370275773,0.7731104404501686,0.029738545548694623,1639
457,22.161197090148924,0.35451339046265873,0.01400308609008789,0.0010961493077529672,0.8,2,0.01,10,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}",0.7304185927067284,0.7473543245361902,0.7774794428595402,0.826747190848117,0.7829453850396259,0.7729889871980402,0.033101700641035695,1640
1645,23.326458978652955,1.2128271084941693,0.007201671600341797,0.0003999472339533424,0.9,3,0.15,10,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 300}",0.7276396463012602,0.7613217811807375,0.766428461094445,0.833163961557446,0.7762667815023836,0.7729641263272544,0.03425637255495903,1641
1646,38.58369927406311,1.1473922756025114,0.00780177116394043,0.0004003048653116896,0.9,3,0.15,10,500,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 500}",0.7276396463012602,0.7613217811807375,0.766428461094445,0.833163961557446,0.7762667815023836,0.7729641263272544,0.03425637255495903,1641
1727,188.44629259109496,12.970756851063891,0.00840167999267578,0.0004896483199154399,0.9,3,0.3,20,3000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 3000}",0.720959595959596,0.7704152981884145,0.788795518207283,0.7949892606626278,0.7896239885768681,0.7729567323189579,0.027291969338293025,1643
30,9.408320760726928,0.20234831868216693,0.013202810287475586,0.0040209186097473325,0.8,0,0.01,20,100,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",0.7484779744783019,0.7473543245361902,0.7800783256291731,0.8241502282213204,0.7646873570630535,0.7729496419856078,0.02826505368626334,1644
1705,14.150390243530273,0.18916635977004484,0.006801462173461914,0.00039987566929968805,0.9,3,0.3,5,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 300}",0.7418876262626264,0.7583263996196363,0.7638659543467703,0.8241502282213204,0.7762667815023836,0.7728993979905473,0.027905885552506164,1645
894,12.09412670135498,0.47954594597417255,0.012802743911743164,0.0041674719339200505,0.9,0,0.01,20,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",0.7443163358294702,0.7592416445127355,0.7653314315147193,0.8215686274509804,0.773783718689788,0.7728483515995387,0.026192604604525875,1646
775,17.260691452026368,0.2624796823475427,0.007601690292358398,0.0004899403160383116,0.8,3,0.15,7,300,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 300}",0.7415869600804472,0.7613217811807375,0.7755712270803949,0.8101211444282155,0.7753027081985395,0.7727807641936669,0.02241790618006558,1647
