,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
758,0.3731398582458496,0.003863141785560124,0.0011738777160644532,0.00028035286198718464,0.8,3,0.15,2,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 500}",0.7797619047619049,0.7844897959183674,0.7949936823412902,0.7996939049864533,0.806952458494106,0.7931783493004244,0.00990924747853732,1340
759,0.6704153060913086,0.008349248237330643,0.0013439655303955078,0.0005432260880380669,0.8,3,0.15,2,1000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 1000}",0.7797619047619049,0.7844897959183674,0.7949936823412902,0.7996939049864533,0.806952458494106,0.7931783493004244,0.00990924747853732,1340
760,1.261145782470703,0.02464506418562998,0.0019672393798828127,0.000643338462195194,0.8,3,0.15,2,2000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 2000}",0.7797619047619049,0.7844897959183674,0.7949936823412902,0.7996939049864533,0.806952458494106,0.7931783493004244,0.00990924747853732,1340
761,1.8392011642456054,0.015627312299510504,0.0019004344940185547,0.0007781575112809754,0.8,3,0.15,2,3000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 3000}",0.7797619047619049,0.7844897959183674,0.7949936823412902,0.7996939049864533,0.806952458494106,0.7931783493004244,0.00990924747853732,1340
1553,2.03781795501709,0.013347787487613557,0.002064037322998047,0.0008387459807951188,0.9,3,0.05,2,3000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 3000}",0.784425374929826,0.7844897959183674,0.7976190476190477,0.7972649807586586,0.8019745585722422,0.7931547515596284,0.007292412381707703,1346
1552,1.434400463104248,0.00997433344149969,0.0013091564178466797,5.4831919289938346e-05,0.9,3,0.05,2,2000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 2000}",0.784425374929826,0.7844897959183674,0.7976190476190477,0.7972649807586586,0.8019745585722422,0.7931547515596284,0.007292412381707703,1346
1551,0.7989278793334961,0.009410820756475705,0.002321624755859375,0.0005475440672951936,0.9,3,0.05,2,1000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 1000}",0.784425374929826,0.7844897959183674,0.7976190476190477,0.7972649807586586,0.8019745585722422,0.7931547515596284,0.007292412381707703,1346
1549,0.3840526580810547,0.00461023864250461,0.0019009113311767578,0.0008174706048306126,0.9,3,0.05,2,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 300}",0.784425374929826,0.7844897959183674,0.7976190476190477,0.7972649807586586,0.8019745585722422,0.7931547515596284,0.007292412381707703,1346
1550,0.4961057186126709,0.004911248452603716,0.001226663589477539,2.5687319948493253e-05,0.9,3,0.05,2,500,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500}",0.784425374929826,0.7844897959183674,0.7976190476190477,0.7972649807586586,0.8019745585722422,0.7931547515596284,0.007292412381707703,1346
827,2.09422607421875,0.049774046667466494,0.0013972282409667968,2.6452903972854725e-05,0.8,3,0.2,20,3000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 3000}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
822,0.2990140914916992,0.016087855943333736,0.0020213603973388674,0.0011525998106337878,0.8,3,0.2,20,100,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 100}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
826,1.4688529968261719,0.04401265003213339,0.0024168968200683595,0.0015125006728066168,0.8,3,0.2,20,2000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 2000}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
825,0.8772597789764405,0.033999019076098584,0.0013858318328857423,0.00015706987039322797,0.8,3,0.2,20,1000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 1000}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
824,0.541976022720337,0.026718240082755987,0.001706409454345703,0.0005328422238335515,0.8,3,0.2,20,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 500}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
823,0.408538293838501,0.00906032336729328,0.0012509346008300782,2.795640587679395e-05,0.8,3,0.2,20,300,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 300}",0.7841227611763029,0.7968944803354867,0.7757029579713675,0.7996939049864533,0.8093127508043816,0.7931453710547984,0.011865652516506455,1351
3,1.2916010856628417,0.03979991139332502,0.002052450180053711,3.0366553692846906e-05,0.8,0,0.01,2,1000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.777084454007531,0.7844897959183674,0.79640174298928,0.8021357826592155,0.8056147654930028,0.7931453082134793,0.010768373080181623,1357
1083,1.3725674629211426,0.012547913616256779,0.0027695178985595705,0.0009102424360144174,0.9,1,0.01,2,1000,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.7891339429800969,0.7844897959183674,0.7854623203361595,0.8058571694484085,0.8006230309037488,0.7931132519173563,0.008573679041199584,1358
719,2.670300817489624,0.026372652118530994,0.0030064105987548826,0.0009404847908091348,0.8,3,0.05,20,3000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 3000}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
715,0.9552824020385742,0.026896570953199014,0.0022409439086914064,0.0003591382683767534,0.8,3,0.05,20,300,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 300}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
716,1.1469666957855225,0.041543781801302096,0.0031674385070800783,0.0007939333586361826,0.8,3,0.05,20,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 500}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
714,0.8170536041259766,0.017644739576567797,0.003103828430175781,0.00128971049446336,0.8,3,0.05,20,100,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 100}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
717,1.4793708324432373,0.03968680896529942,0.003078317642211914,0.000947076584427301,0.8,3,0.05,20,1000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 1000}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
718,2.10608549118042,0.04515553598653153,0.002802324295043945,0.0011430190245944236,0.8,3,0.05,20,2000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.05, 'max_depth': 20, 'n_estimators': 2000}",0.7888740907693884,0.7869709938183547,0.7803921568627452,0.7845632661614221,0.8247346246248388,0.7931070264473499,0.016065723486550214,1359
867,1.3898964881896974,0.021847815907958357,0.003190422058105469,0.001362298922500923,0.9,0,0.01,2,1000,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.7891339429800969,0.7844897959183674,0.7891339429800969,0.8021357826592155,0.8006230309037488,0.793103299088305,0.006983353617296317,1365
580,1.3784900188446045,0.0436105887654016,0.002191591262817383,0.0010905240308650887,0.8,2,0.2,2,2000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 2000}",0.7923271179991006,0.7779591836734694,0.7854623203361595,0.7985496558505407,0.8107642808760442,0.7930125117470628,0.01122375260822866,1366
581,1.9917569637298584,0.04182323670999004,0.0020930290222167967,0.0010327889134273966,0.8,2,0.2,2,3000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 3000}",0.7923271179991006,0.7779591836734694,0.7854623203361595,0.7985496558505407,0.8107642808760442,0.7930125117470628,0.01122375260822866,1366
577,0.2648062229156494,0.012221231613982822,0.0013925552368164063,0.0007743483450833645,0.8,2,0.2,2,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 300}",0.7923271179991006,0.7779591836734694,0.7854623203361595,0.7985496558505407,0.8107642808760442,0.7930125117470628,0.01122375260822866,1366
578,0.3940422534942627,0.014954283962913447,0.001315927505493164,0.0005336608775464925,0.8,2,0.2,2,500,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 500}",0.7923271179991006,0.7779591836734694,0.7854623203361595,0.7985496558505407,0.8107642808760442,0.7930125117470628,0.01122375260822866,1366
579,0.7127228260040284,0.02982603697189327,0.0013537883758544921,0.0005059137397204532,0.8,2,0.2,2,1000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 1000}",0.7923271179991006,0.7779591836734694,0.7854623203361595,0.7985496558505407,0.8107642808760442,0.7930125117470628,0.01122375260822866,1366
571,0.5674291610717773,0.026442613310993183,0.0015214443206787109,0.00017605849460623554,0.8,2,0.15,20,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 300}",0.7761179112334171,0.7885303878637357,0.7986928104575164,0.7932411975779323,0.8082610805223298,0.7929686775309863,0.01068030237560662,1371
575,2.1894177913665773,0.046231438692066515,0.0015978813171386719,8.199616680524608e-05,0.8,2,0.15,20,3000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 3000}",0.7761179112334171,0.7885303878637357,0.7986928104575164,0.7932411975779323,0.8082610805223298,0.7929686775309863,0.01068030237560662,1371
574,1.5878220081329346,0.03357758916224912,0.0020298480987548826,0.0009421783212891308,0.8,2,0.15,20,2000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 2000}",0.7761179112334171,0.7885303878637357,0.7986928104575164,0.7932411975779323,0.8082610805223298,0.7929686775309863,0.01068030237560662,1371
573,1.0324697494506836,0.04062553365373297,0.0015247821807861327,0.00018095907957550638,0.8,2,0.15,20,1000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 1000}",0.7761179112334171,0.7885303878637357,0.7986928104575164,0.7932411975779323,0.8082610805223298,0.7929686775309863,0.01068030237560662,1371
572,0.7461194038391114,0.045635713498746525,0.001592397689819336,7.871410241157888e-05,0.8,2,0.15,20,500,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 500}",0.7761179112334171,0.7885303878637357,0.7986928104575164,0.7932411975779323,0.8082610805223298,0.7929686775309863,0.01068030237560662,1371
1500,0.27237281799316404,0.013350654283096883,0.001167440414428711,3.995730367089117e-05,0.9,2,0.3,10,100,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 100}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1505,2.145188808441162,0.04469154276914808,0.0014241695404052734,9.763729574617623e-05,0.9,2,0.3,10,3000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 3000}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1503,0.854238224029541,0.017851880708934214,0.0015077590942382812,0.0005872339529850478,0.9,2,0.3,10,1000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 1000}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1501,0.41393203735351564,0.011790757141655372,0.0013556957244873046,0.000246603351898187,0.9,2,0.3,10,300,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 300}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1504,1.4868013858795166,0.006966037625466739,0.002250862121582031,0.0012046501385575663,0.9,2,0.3,10,2000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 2000}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1502,0.523591423034668,0.013060328772439506,0.001285219192504883,0.00014790975216206882,0.9,2,0.3,10,500,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 500}",0.7831091984938139,0.7881049027566975,0.7923271179991006,0.7873673760625428,0.8132132564841499,0.7928243703592608,0.010605570827679269,1376
1309,2.3781179428100585,0.06637316918110014,0.0032626628875732423,0.0010466085478965242,0.9,2,0.01,5,300,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7851289500369996,0.7935257324700977,0.7803921568627452,0.7840579710144928,0.8209237108681966,0.7928057042505063,0.01470164812230739,1382
1525,2.304702377319336,0.041094849192253015,0.005185842514038086,0.0013427479359524343,0.9,3,0.01,5,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7878271224053477,0.7869709938183547,0.772850604324828,0.7855328516595168,0.8308337071092173,0.792803055863453,0.01977907726473829,1383
639,0.8164202213287354,0.018711014284481988,0.0020162105560302735,0.000982541768181754,0.8,2,0.3,10,1000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 1000}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
